drone_id,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,des_roll,des_pitch,des_yaw,u_m1,u_m2,u_m3,u_m4
0,0.0,1.8369701987210297e-17,0.0,0.09744854159469743,0.0,0.0,-0.20409029009236587,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.02855898077502038,0.028524105015229617,-0.0008147302395241762,15592.270558856242,15598.306114611849,15592.268062259664,15586.04882701458
0,0.020833333333333332,1.2426315054123893e-08,1.2431375634257805e-08,0.0936109407733228,1.988138284464212e-06,1.9889478584782173e-06,-0.17095296011338282,-6.290840144969322e-05,6.28827634434488e-05,-5.404932412034539e-07,-0.005032107949730091,0.005030060760934858,-4.307641122625539e-05,15592.270558856242,15598.306114611849,15592.268062259664,15586.04882701458,1.0,1.0,1.0,0.0,0.0,0.0,-0.028713463799596915,0.02867801978980955,-0.000823558574356429,15550.257338005416,15555.106488272362,15550.255303187067,15545.241545390341
0,0.041666666666666664,2.69660825804985e-07,2.697704951423406e-07,0.0904472879317998,2.333911485649242e-05,2.3348602885905428e-05,-0.13912824355901163,-0.00021818502383069165,0.00021809567119987806,-1.942340086068473e-06,-0.00906691808173079,0.009063218359042157,-8.16805972048864e-05,15550.257338005416,15555.106488272362,15550.255303187067,15545.241545390341,1.0,1.0,1.0,0.0,0.0,0.0,-0.028863450248635934,0.028827449353821866,-0.0008321753272533608,15509.37637410128,15513.258375193916,15509.37471782036,15505.345446603398
0,0.0625,1.4398225238648997e-06,1.4404073045359542e-06,0.0879307473547818,8.458298722298246e-05,8.461730731247296e-05,-0.1085753440663755,-0.0004473799620316157,0.00044719553464479323,-4.151595402415972e-06,-0.012290556641049,0.012285531574927826,-0.0001161834991002794,15509.37637410128,15513.258375193916,15509.37471782036,15505.345446603398,1.0,1.0,1.0,0.0,0.0,0.0,-0.029007102293721818,0.028970564048517167,-0.0008404701120265437,15469.595504243105,15472.688298178859,15469.594157714786,15466.369860777893
0,0.08333333333333333,4.561392780584119e-06,4.563241720029602e-06,0.08603531447541655,0.00020178743827876838,0.00020186906765079556,-0.07925496538883085,-0.0007354777230175176,0.0007351720921098666,-7.12686198117907e-06,-0.01485368629214913,0.014847605357089956,-0.00014693662656491032,15469.595504243105,15472.688298178859,15469.594157714786,15466.369860777893,1.0,1.0,1.0,0.0,0.0,0.0,-0.029142928462377225,0.029105879351955632,-0.0008483507826137476,15430.884766786494,15433.332880854723,15430.883673684675,15428.3184076002
0,0.10416666666666667,1.0961456680892137e-05,1.0965887868823531e-05,0.08473578586609613,0.00038742973849504773,0.0003875858151179016,-0.05112921158321161,-0.001070244155593693,0.0010697952448956302,-1.083183143767293e-05,-0.016878370381327328,0.016871454613131855,-0.00017426695129174404,15430.884766786494,15433.332880854723,15430.883673684675,15428.3184076002,1.0,1.0,1.0,0.0,0.0,0.0,-0.029269720258730605,0.02923219267438193,-0.0008557404308395487,15393.216152841738,15395.137066165225,15393.215267347347,15391.1902788667
0,0.125,2.2189901362289197e-05,2.219884121309169e-05,0.08400773121920733,0.0006510969167347274,0.0006513578468677531,-0.02416149461012329,-0.0014416995403632624,0.001441088401417443,-1.5231368769218663e-05,-0.018463588260766776,0.01845601861422121,-0.00019847497044979672,15393.216152841738,15395.137066165225,15393.215267347347,15391.1902788667,1.0,1.0,1.0,0.0,0.0,0.0,-0.029386500858725226,0.029348532195943466,-0.0008625749592487981,15356.5633636204,15358.052642950377,15356.562648635034,15354.981226131375
0,0.14583333333333334,3.9966433963679895e-05,3.99824705192777e-05,0.08382746714845046,0.0010000484458811752,0.0010004467498719771,0.0016835495637573007,-0.001841693095328123,0.001840903192620336,-2.028967873495975e-05,-0.019689670869489345,0.019681595485121325,-0.00021983466939185629,15356.5633636204,15358.052642950377,15356.562648635034,15354.981226131375,1.0,1.0,1.0,0.0,0.0,0.0,-0.0294924835377335,0.029454115411255533,-0.0008688011092864885,15320.90158673203,15322.037033141543,15320.901012308168,15319.684326497973
0,0.16666666666666666,6.613770078007525e-05,6.61641155084181e-05,0.08417203038187528,0.0014396449658879145,0.0014402143203323665,0.026439828590068257,-0.002263559082731969,0.0022625757498520335,-2.596965234865457e-05,-0.020621871234490028,0.020613411601834875,-0.00023859457608313208,15320.90158673203,15322.037033141543,15320.901012308168,15319.684326497973,1.0,1.0,1.0,0.0,0.0,0.0,-0.02958703841970964,0.029548315972369954,-0.0008743748801304761,15286.207729166043,15287.052729173534,15286.207271165142,15285.291012022386
0,0.1875,0.000102642149304704,0.000102682931081221,0.08501913429345676,0.0019737087835892085,0.0019744832376059683,0.05013887570482683,-0.0027018386359001505,0.002700648669054441,-3.223284568948068e-05,-0.021313241323437277,0.021304497413218083,-0.00025497940061330404,15286.207729166043,15287.052729173534,15286.207271165142,15285.291012022386,1.0,1.0,1.0,0.0,0.0,0.0,-0.029669660000686313,0.029630631312268063,-0.0008792599094030185,15252.461647338405,15253.067882275147,15252.461286308193,15251.79294266209
